age_calBP,d13C
1413.3,0.00
1418.9,-25.56
1430.9,-25.46
1442.7,-25.85
1449,0.00
1455.3,-25.92
1467.6,-26.19
1479.7,-26.12
1492.4,-26.16
1505.6,-26.72
1519.5,-25.65
1526,0.00
1532,-25.37
1545.7,-25.73
1558.7,-25.61
1565.5,
1572.7,-25.52
1587.5,-26.46
1601,-26.12
1615.9,-25.25
1631,-25.46
1646.5,-25.41
1654.6,0.00
1663.1,-25.56
1678.6,-25.34
1693.8,-25.65
1708.8,-25.80
1722.5,-25.65
1735.2,-26.29
1745.8,-26.11
1757.7,-25.78
1768.9,-26.15
1774.1,0.00
1780.6,-26.48
1792.3,-26.89
1803.3,-26.51
1809.6,0.00
1815.4,-26.42
1827.8,-26.22
1839.7,-26.25
1852.2,-26.47
1894.6,0.00
1900.4,-25.87
1912.5,-25.88
1925.2,-25.87
1936.9,-26.48
1948.6,-27.10
1960.8,-26.29
1967.1,0.00
1972.6,-26.36
1984.8,-26.29
1997.2,-26.60
2003.3,0.00
2009.8,-26.11
2022.1,-26.22
2034,-26.27
2040.2,0.00
2046.7,-27.11
2059,-26.51
2071.8,-26.49
2083.4,-25.36
2094.9,-25.19
2101.1,0.00
2106.9,-25.88
2118.9,-25.88
2130.6,-26.54
2161.3,0.00
2167.4,-25.80
2180.3,-26.67
2193.2,-26.18
2205.9,-26.16
2218.2,-26.47
2230.7,-26.06
2236.6,0.00
2242.5,-26.76
2255.1,-26.58
2267,-25.90
2279.2,-25.56
2290.9,-25.70
2303.6,-25.22
2316.3,-25.42
2327.9,-25.45
2340.1,-26.25
2352.8,-26.41
2365.5,-26.05
2377.7,-26.77
2390,-26.89
2401.8,-26.41
2414.1,-26.68
2426.2,-26.61
2438.2,-25.98
2449.6,-26.13
2461.5,-25.29
2473.6,-25.57
2486.5,-25.62
2499.6,-25.22
2512.1,-26.00
2524.5,-25.65
2536.5,-25.10
2548.4,-25.40
2560.5,-25.60
2572.6,-26.00
2585.1,-25.83
2597.7,-25.79
2610.4,-25.87
2647.9,-26.49
2661.1,-26.08
2672.8,-26.39
2685.1,-25.51
2696.6,-25.81
2708.4,-25.35
2720.7,-25.57
2732.1,-25.83
2744.4,-25.34
2756.8,-25.79
2769.5,-26.05
2781.4,-25.20
2793.9,-25.94
2805.5,-25.45
2816.9,-25.05
2829.2,-25.83
2841.1,-25.93
2853,-26.57
2865.4,-25.69
2877.1,-26.00
2889,-26.13
2900.7,-26.25
2912.7,-25.99
2925.6,-26.96
2937.8,-26.55
2949,-26.01
2960.3,-25.72
2972,-25.94
2983.7,-26.12
2995.5,-26.00
3006.9,-25.97
3018.1,-25.37
3030.1,-25.71
3041.4,-26.06
3052.3,-25.93
3064,-26.02
3075.5,-26.24
3086.5,-25.85
3097.7,-25.82
3109,-26.49
3120.4,-26.46
3131.6,-26.82
3142.6,-26.52
3153.3,-25.80
3163.8,-25.58
3175,-25.85
3186.3,-25.92
3208.4,-25.53
3219.5,-25.21
3229.8,-24.96
3240,-24.94
3251.9,-24.72
3263.5,-25.15
3269.6,0.00
3275.3,-25.44
3286.2,-25.25
3297.5,-26.34
3303.4,0.00
3309,-25.56
3320.1,-26.58
3331.2,-27.08
3342.8,-26.12
3354.1,-25.92
3364.6,-25.34
3376.4,-25.84
3387.8,-25.53
3399.5,-25.55
3410.6,-25.82
3422.2,-25.22
3433.3,-25.40
3444.5,-25.45
3455.9,-24.98
3467.6,-25.36
3478.5,-25.48
3490.3,-25.39
3501.7,-25.66
3512.5,-25.49
3525.5,-25.33
3536.5,-24.87
3548.5,-24.64
3560.2,-25.37
3572,-25.61
3583.5,-26.15
